start,end,paper,dataname,method,n_samples,n_neighbors,1-NN,Trustworthiness,Continuity
,,comparative,orl,hlle,2000,7,0.15,0.949,0.969
,,comparative,orl,hlle,2000,11,0.115,0.953,0.948
,,comparative,orl,hlle,2000,8,0.155,0.95,0.963
,,comparative,orl,hlle,2000,14,0.11,0.949,0.944
,,comparative,orl,hlle,2000,9,0.158,0.944,0.949
,,comparative,helix,lle,2000,11,0.065,0.745,0.997
,,comparative,helix,lle,2000,14,0.337,0.762,0.996
,,comparative,helix,lle,2000,8,0.086,0.921,0.998
,,comparative,helix,lle,2000,12,0.298,0.79,0.996
,,comparative,helix,lle,2000,6,0.086,0.946,0.985
,,comparative,helix,lle,2000,7,0.157,0.779,0.997
,,comparative,helix,lle,2000,15,0.275,0.784,0.997
,,comparative,helix,lle,2000,13,0.162,0.824,0.996
,,comparative,helix,lle,2000,5,0.073,0.943,0.988
,,comparative,helix,lle,2000,10,0.231,0.755,0.998
,,comparative,helix,lle,2000,9,0.2,0.752,0.998
,,comparative,helix,lle,2000,11,0.065,0.745,0.997
,,comparative,helix,lle,2000,14,0.337,0.762,0.996
,,comparative,helix,lle,2000,8,0.086,0.921,0.998
,,comparative,helix,lle,2000,12,0.298,0.79,0.996
,,comparative,helix,lle,2000,6,0.086,0.946,0.985
,,comparative,helix,lle,2000,7,0.157,0.779,0.997
,,comparative,helix,lle,2000,15,0.275,0.784,0.997
,,comparative,helix,lle,2000,13,0.162,0.824,0.996
,,comparative,helix,lle,2000,5,0.073,0.943,0.988
,,comparative,helix,lle,2000,10,0.231,0.755,0.998
,,comparative,helix,lle,2000,9,0.2,0.752,0.998
,,comparative,orl,isomap.skl,2000,10,0.142,0.976,0.992
,,comparative,orl,isomap.skl,2000,6,0.128,0.985,0.996
,,comparative,orl,isomap.skl,2000,12,0.142,0.974,0.99
,,comparative,orl,isomap.skl,2000,13,0.155,0.974,0.989
,,comparative,orl,isomap.skl,2000,11,0.138,0.973,0.99
,,comparative,orl,isomap.skl,2000,9,0.122,0.977,0.992
,,comparative,orl,isomap.skl,2000,7,0.155,0.981,0.994
,,comparative,orl,isomap.skl,2000,5,0.113,0.987,0.997
,,comparative,orl,isomap.skl,2000,15,0.138,0.973,0.988
,,comparative,orl,isomap.skl,2000,14,0.155,0.974,0.989
,,comparative,orl,isomap.skl,2000,8,0.165,0.977,0.992
,,comparative,orl,isomap.skl,2000,10,0.142,0.976,0.992
,,comparative,orl,isomap.skl,2000,6,0.128,0.985,0.996
,,comparative,orl,isomap.skl,2000,12,0.142,0.974,0.99
,,comparative,orl,isomap.skl,2000,13,0.155,0.974,0.989
,,comparative,orl,isomap.skl,2000,11,0.138,0.973,0.99
,,comparative,orl,isomap.skl,2000,9,0.122,0.977,0.992
,,comparative,orl,isomap.skl,2000,7,0.155,0.981,0.994
,,comparative,orl,isomap.skl,2000,5,0.113,0.987,0.997
,,comparative,orl,isomap.skl,2000,15,0.138,0.973,0.988
,,comparative,orl,isomap.skl,2000,14,0.155,0.974,0.989
,,comparative,orl,isomap.skl,2000,8,0.165,0.977,0.992
,,comparative,twinpeaks,lle,2000,10,0.014,0.985,0.993
,,comparative,twinpeaks,lle,2000,15,0.115,0.9,0.975
,,comparative,twinpeaks,lle,2000,11,0.017,0.987,0.995
,,comparative,twinpeaks,lle,2000,9,0.075,0.869,0.976
,,comparative,twinpeaks,lle,2000,14,0.032,0.962,0.985
,,comparative,twinpeaks,lle,2000,8,0.031,0.952,0.993
,,comparative,twinpeaks,lle,2000,5,0.103,0.953,0.978
,,comparative,twinpeaks,lle,2000,6,0.06,0.962,0.98
,,comparative,twinpeaks,lle,2000,13,0.105,0.892,0.98
,,comparative,twinpeaks,lle,2000,7,0.02,0.976,0.991
,,comparative,twinpeaks,lle,2000,12,0.026,0.966,0.987
,,comparative,twinpeaks,lle,2000,10,0.014,0.985,0.993
,,comparative,twinpeaks,lle,2000,15,0.115,0.9,0.975
,,comparative,twinpeaks,lle,2000,11,0.017,0.987,0.995
,,comparative,twinpeaks,lle,2000,9,0.075,0.869,0.976
,,comparative,twinpeaks,lle,2000,14,0.032,0.962,0.985
,,comparative,twinpeaks,lle,2000,8,0.031,0.952,0.993
,,comparative,twinpeaks,lle,2000,5,0.103,0.953,0.978
,,comparative,twinpeaks,lle,2000,6,0.06,0.962,0.98
,,comparative,twinpeaks,lle,2000,13,0.105,0.892,0.98
,,comparative,twinpeaks,lle,2000,7,0.02,0.976,0.991
,,comparative,twinpeaks,lle,2000,12,0.026,0.966,0.987
,,comparative,swiss,lle,2000,9,0.054,0.998,0.998
,,comparative,swiss,lle,2000,7,0.07,0.996,0.998
,,comparative,swiss,lle,2000,6,0.274,0.888,0.982
,,comparative,swiss,lle,2000,13,0.232,0.94,0.996
,,comparative,swiss,lle,2000,8,0.057,0.998,0.998
,,comparative,swiss,lle,2000,15,0.232,0.902,0.991
,,comparative,swiss,lle,2000,11,0.15,0.959,0.992
,,comparative,swiss,lle,2000,14,0.126,0.969,0.995
,,comparative,swiss,lle,2000,10,0.084,0.989,0.997
,,comparative,swiss,lle,2000,12,0.199,0.918,0.985
,,comparative,swiss,lle,2000,5,0.255,0.877,0.974
,,comparative,swiss,lle,2000,9,0.054,0.998,0.998
,,comparative,swiss,lle,2000,7,0.07,0.996,0.998
,,comparative,swiss,lle,2000,6,0.274,0.888,0.982
,,comparative,swiss,lle,2000,13,0.232,0.94,0.996
,,comparative,swiss,lle,2000,8,0.057,0.998,0.998
,,comparative,swiss,lle,2000,15,0.232,0.902,0.991
,,comparative,swiss,lle,2000,11,0.15,0.959,0.992
,,comparative,swiss,lle,2000,14,0.126,0.969,0.995
,,comparative,swiss,lle,2000,10,0.084,0.989,0.997
,,comparative,swiss,lle,2000,12,0.199,0.918,0.985
,,comparative,swiss,lle,2000,5,0.255,0.877,0.974
,,comparative,broken.swiss,lle,2000,7,0.358,0.758,0.979
,,comparative,broken.swiss,lle,2000,6,0.396,0.812,0.976
,,comparative,broken.swiss,lle,2000,8,0.362,0.748,0.98
,,comparative,broken.swiss,lle,2000,14,0.461,0.843,0.864
,,comparative,broken.swiss,lle,2000,12,0.481,0.772,0.977
